Profile	Büro	Gruppenbüro	Großraumbüro	Besprechung	Schalterhalle	Einzelhandel_Kaufhaus	Einzelhandel_Kaufhaus mit Kühlung	Klassenzimmer_Gruppenraum	Hörsaal_Auditorium	Bettenzimmer	Hotelzimmer	Kantine	Restaurant	Küche in Nichtwohngebäuden	Küche – Vorbereitung, Lager	WC und Sanitärräume in Nichtwohngebäuden	Sonstige Aufenthaltsräume	Nebenflächen (ohne Aufenthaltsräume)	Verkehrsflächen	Lager, Technik, Archiv	Rechenzentrum	Gewerbliche und industrielle Hallen – schwere Arbeit, stehende Tätigkeit	Gewerbliche und industrielle Hallen – mittelschwere Arbeit, überwiegend stehende Tätigkeit	Gewerbliche und industrielle Hallen – leichte Arbeit, überwiegend sitzende Tätigkeit	Zuschauerbereich (Theater und Veranstaltungsbauten)	Foyer (Theater und Veranstaltungsbauten)	Bühne (Theater und Veranstaltungsbauten)	Messe_Kongress	Ausstellungsräume und Museum mit konservatorischen Anforderungen	Bibliothek – Lesesaal	Bibliothek – Freihandbereich	Bibliothek – Magazin und Depot	Turnhalle ohne Zuschauer	Parkhäuser (Büro- und Privatnutzung)	Parkhäuser (Öffentliche Nutzung)	Saunabereich	Fitnessraum	Labor	Untersuchungs- und Behandlungsräume	Spezialpflegebereiche	Flure des allgemeinen Pflegebereichs	Arztpraxen und therapeutische Praxen	Lagerhallen, Logistikhallen
Eingabe Personenzeitplan																																											
Stunde	8.4	8.1	8.8	6.7	8.6	11.8	11.8	6.5	9.3	24	11	4.8	10.2	10	10	0	8.4	0	0	0	6	8	8	8	2.6	1.4	0	9	7	11	10	0	13.2	0	0	12.5	12.1	8	9	24	0	10	0
0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
4	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
5	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
6	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
7	0.3	0.3	0.5	0.7	0.5	0	0	0	0	1	1	0	0	0	0	0	0.5	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	1	1	0	1	0
8	0.7	0.7	0.7	1	1	1	1	1	1	1	0	0.5	0	0	0	0	0.5	0	0	0	1	1	1	1	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0	0.5	0.7	1	1	0	1	0
9	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0.7	0	0	0	1	1	1	1	0	0	0	1	0	1	1	0	1	0	0	0	1	1	1	1	0	1	0
10	1	1	1	1	0.7	1	1	1	1	1	0	0.3	1	0.3	0.3	0	1	0	0	0	1	1	1	1	0	0	0	1	0.5	1	1	0	1	0	0	1	1	1	1	1	0	1	0
11	0.7	0.5	0.7	0	0.5	1	1	0.5	1	1	0	1	1	0.5	0.5	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	1	0.7	0.5	0	1	0	1	0
12	0.7	0.6	0.7	0	0.5	1	1	1	0.3	1	0	1	1	1	1	0	1	0	0	0	1	1	1	1	0	0	0	1	1	1	1	0	0.5	0	0	1	0.5	0.5	0	1	0	0	0
13	1	1	1	1	0.7	1	1	1	1	1	0	0.5	1	0.5	0.5	0	1	0	0	0	1	1	1	1	0	0	0	1	1	1	1	0	1	0	0	1	0.5	1	1	1	0	1	0
14	1	1	1	1	1	1	1	1	1	1	0	0.5	0.3	0.5	0.5	0	1	0	0	0	1	1	1	1	0	0	0	1	1	1	1	0	1	0	0	1	0.7	1	1	1	0	1	0
15	1	1	1	1	1	1	1	0	1	1	0	0	0.3	1	1	0	0.7	0	0	0	0	1	1	1	0	0	0	1	1	1	1	0	1	0	0	1	1	1	1	1	0	1	0
16	0.7	0.7	0.7	0	1	1	1	0	1	1	0	0	0.3	1	1	0	0.5	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	1	1	0.7	1	1	0	1	0
17	0.3	0.3	0.5	0	0.7	1	1	0	1	1	0	0	0.5	1	1	0	0.5	0	0	0	0	0	0	0	0	0	0	1	0.5	1	0.5	0	0.7	0	0	1	1	0.3	1	1	0	1	0
18	0	0	0	0	0	1	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.5	0	1	0	0	1	1	0	0	1	0	0	0
19	0	0	0	0	0	0.8	0.8	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0.3	0.7	0	0	0	0.5	0.5	0	1	0	0	1	1	0	0	1	0	0	0
20	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0
21	0	0	0	0	0	0	0	0	0	1	1	0	1	0.7	0.7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0.7	0	0	1	0	0	0
22	0	0	0	0	0	0	0	0	0	1	1	0	0.5	0.5	0.5	0	0	0	0	0	0	0	0	0	0.3	0.7	0	0	0	0	0	0	0.5	0	0	0.5	0.5	0	0	1	0	0	0
23	0	0	0	0	0	0	0	0	0	1	1	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Eingabe Gerätezeitplan																																											
Stunde	12.3	8.7	11.5	7	11.4	14	21.3	7.2	9.7	15.7	11.6	8	11.4	11.9	13.4	0	8.5	0	0	0	24	10	10	10	0	0	0	10.4	11.3	11.7	13	12.5	14.5	6	6	15	16	12	9	24	8	10	8.1
0	0.1	0	0	0	0	0	0.7	0	0	0.3	0.5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1	0.1	0	0	0	0	0	0.7	0	0	0.3	0.5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	1	0	0	0
2	0.1	0	0	0	0	0	0.7	0	0	0.3	0.5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	1	0	0	0
3	0.1	0	0	0	0	0	0.7	0	0	0.3	0.5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	1	0	0	0
4	0.1	0	0	0	0	0	0.7	0	0	0.3	0.5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	1	0	0	0
5	0.1	0	0.3	0	0	0	0.7	0	0	0.5	1	0	0	0	0	0	0	0	0	0	1	0.5	0.5	0.5	0	0	0	0	0.2	0.1	0	0	0	0	0	0	0	0	0	1	0	0	0
6	0.1	0	0.5	0	0.7	0.5	1	0	0	0.5	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0.2	0.2	0.1	0	0	0	0	0	0.5	0	1	0	1	0	0	0
7	1	0.5	1	1	1	1	1	1	0.7	1	1	1	0.5	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0.2	0.2	0.5	1	0.5	0.5	0	0	0.5	1	1	1	1	0	1	0.3
8	1	1	1	1	1	1	1	1	1	1	1	1	0.5	0	0	0	1	0	0	0	1	1	1	1	0	0	0	1	0.2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9	1	1	1	1	1	1	1	1	1	1	0.1	1	1	0.5	1	0	1	0	0	0	1	1	1	1	0	0	0	1	0.3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10	1	1	1	1	1	1	1	1	1	1	0.1	1	1	1	1	0	1	0	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11	1	0.6	1	0	1	1	1	0.2	0	1	0.1	1	1	1	1	0	0.5	0	0	0	1	0.5	0.5	0.5	0	0	0	1	1	1	1	1	1	0	0	1	1	1	0	1	0	1	0
12	1	0.6	1	0	1	1	1	1	1	1	0.1	1	1	1	1	0	0.5	0	0	0	1	1	1	1	0	0	0	1	1	1	1	1	0.5	1	1	1	1	1	0	1	1	0	1
13	1	1	1	1	1	1	1	1	1	1	0.1	1	1	1	1	0	0.5	0	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
14	1	1	1	1	1	1	1	1	1	1	0.1	1	0.7	0.5	1	0	1	0	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
15	1	1	1	1	1	1	1	0	1	1	0.1	0	0.7	1	1	0	1	0	0	0	1	1	1	1	0	0	0	1	1	0	1	1	1	0	0	1	1	1	1	1	0	1	1
16	1	0.5	1	0	1	1	1	0	1	1	0.1	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	0.5
17	1	0.5	0.7	0	0.7	1	1	0	1	1	0.1	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0.3
18	0.1	0	0	0	0	1	1	0	0	0.5	0.1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0.2	1	1	1	1	0	0	1	1	0	0	1	1	0	0
19	0.1	0	0	0	0	1	1	0	0	0.5	0.1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0.2	1	1	1	1	0	0	1	1	0	0	1	0	0	0
20	0.1	0	0	0	0	0.5	1	0	0	0.3	1	0	0	0.7	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0.2	0	0	0	1	0	0	1	1	0	0	1	0	0	0
21	0.1	0	0	0	0	0	0.7	0	0	0.3	1	0	0	0.7	0.7	0	0	0	0	0	1	0	0	0	0	0	0	0	0.2	0	0	0	1	0	0	1	1	0	0	1	0	0	0
22	0.1	0	0	0	0	0	0.7	0	0	0.3	1	0	0	0.5	0.7	0	0	0	0	0	1	0	0	0	0	0	0	0	0.2	0	0	0	0.5	0	0	0	1	0	0	1	0	0	0
23	0.1	0	0	0	0	0	0.7	0	0	0.3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	1	0	0	0
